SUB_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,POSTAL_CODE,SUBSCRIBER_TYPE,SEGMENT,SIGNUP_DATE,LIFETIME_VALUE_USD,CHURN_RISK_SCORE,NPS_SCORE,STATUS
SUB-INF-0001,Holly,Goodman,megan85@example.net,001-383-733-9452x2885,94102,CONSUMER,HIGH_VALUE_INFLUENCER,2024-04-09,7749.63,0.66,4,ACTIVE
SUB-INF-0002,Timothy,Duncan,icraig@example.com,(408)210-6200x34244,94102,CONSUMER,HIGH_VALUE_INFLUENCER,2024-07-18,13069.21,0.78,4,ACTIVE
SUB-INF-0003,Kristen,Harris,howardshaun@example.net,+1-283-286-3840x66658,94104,CONSUMER,HIGH_VALUE_INFLUENCER,2024-08-28,5449.84,0.86,1,ACTIVE
SUB-INF-0004,John,Oliver,ogreer@example.net,001-459-389-3347x212,94103,CONSUMER,HIGH_VALUE_INFLUENCER,2023-11-17,9370.17,0.72,3,ACTIVE
SUB-INF-0005,Billy,Ramirez,david94@example.org,372-702-5909x47985,94103,CONSUMER,HIGH_VALUE_INFLUENCER,2024-03-12,7571.78,0.63,1,ACTIVE
SUB-INF-0006,Jeffrey,White,hartmanerik@example.net,+1-661-553-3555,94104,CONSUMER,HIGH_VALUE_INFLUENCER,2024-09-04,6681.56,0.64,3,ACTIVE
SUB-INF-0007,Christine,Wells,wilsonmichael@example.org,+1-799-930-5616x4840,94102,CONSUMER,HIGH_VALUE_INFLUENCER,2024-02-11,6542.27,0.89,2,ACTIVE
SUB-INF-0008,Bradley,Villanueva,lukemiller@example.org,(588)801-3361,94102,CONSUMER,HIGH_VALUE_INFLUENCER,2024-06-14,11144.75,0.7,1,ACTIVE
SUB-INF-0009,Lisa,Jones,andrewlove@example.org,610-824-8193,94104,CONSUMER,HIGH_VALUE_INFLUENCER,2023-11-26,5585.02,0.72,3,ACTIVE
SUB-INF-0010,Shannon,Sullivan,andre18@example.org,+1-691-990-1581x4491,94102,CONSUMER,HIGH_VALUE_INFLUENCER,2023-11-21,9128.23,0.7,4,ACTIVE
SUB-INF-0011,Randall,Guerrero,omoore@example.org,001-268-842-4508x8210,94102,CONSUMER,HIGH_VALUE_INFLUENCER,2024-03-21,5518.78,0.67,2,ACTIVE
SUB-INF-0012,Amy,Miller,kaitlinberger@example.com,568.322.2394,94103,CONSUMER,HIGH_VALUE_INFLUENCER,2023-06-18,10086.21,0.75,1,ACTIVE
SUB-INF-0013,Emily,Bradley,yorksarah@example.net,481.541.4139x755,94103,CONSUMER,HIGH_VALUE_INFLUENCER,2023-04-16,5606.32,0.74,4,ACTIVE
SUB-INF-0014,Justin,Jones,louishayes@example.net,+1-849-629-9556x20533,94102,CONSUMER,HIGH_VALUE_INFLUENCER,2024-11-11,9841.72,0.72,2,ACTIVE
SUB-INF-0015,Michael,Frazier,natalie77@example.com,001-347-281-2914x28341,94102,CONSUMER,HIGH_VALUE_INFLUENCER,2024-11-18,7691.6,0.89,1,ACTIVE
SUB-ENT-0001,"Welch, Hess and Riley",Corp,rebeccaarnold@shannon.com,(263)594-2788x165,94102,ENTERPRISE,ENTERPRISE_PREMIUM,2024-09-06,393340.23,0.73,3,ACTIVE
SUB-ENT-0002,"Sutton, Todd and Taylor",Corp,haroldfry@brennan.com,5377314530,94103,ENTERPRISE,ENTERPRISE_PREMIUM,2022-09-22,305710.54,0.66,3,ACTIVE
SUB-ENT-0003,Hardin-Keith,Corp,hoopermario@schmitt.com,001-689-826-6591,94102,ENTERPRISE,ENTERPRISE_PREMIUM,2024-12-07,217987.35,0.84,3,ACTIVE
SUB-ENT-0004,Black LLC,Corp,tommy79@shaw.info,(731)384-3222,94104,ENTERPRISE,ENTERPRISE_PREMIUM,2023-11-20,478675.68,0.84,5,ACTIVE
SUB-ENT-0005,Perry LLC,Corp,olsontimothy@garza.biz,2304299228,94102,ENTERPRISE,ENTERPRISE_PREMIUM,2021-04-24,50450.48,0.66,4,ACTIVE
SUB-ENT-0006,Scott and Sons,Corp,kgreene@smith.com,437-497-7236,94104,ENTERPRISE,ENTERPRISE_PREMIUM,2023-09-23,487436.81,0.5,5,ACTIVE
SUB-ENT-0007,"Dixon, Jackson and Jennings",Corp,ecarlson@gray.com,9382862912,94103,ENTERPRISE,ENTERPRISE_PREMIUM,2024-10-22,319040.49,0.79,5,ACTIVE
SUB-ENT-0008,"Gordon, Wilson and Olson",Corp,rachelryan@prince.biz,465.608.6376x59916,94103,ENTERPRISE,ENTERPRISE_PREMIUM,2023-02-08,429097.4,0.57,4,ACTIVE
SUB-ENT-0009,Kent Inc,Corp,carmen86@lopez-fletcher.com,001-781-380-6356,94102,ENTERPRISE,ENTERPRISE_PREMIUM,2021-09-25,122637.34,0.69,2,ACTIVE
SUB-ENT-0010,Pearson-King,Corp,ncunningham@braun-sanders.com,(488)372-5887x44956,94103,ENTERPRISE,ENTERPRISE_PREMIUM,2024-04-03,90371.8,0.74,3,ACTIVE
SUB-ENT-0011,Griffin Ltd,Corp,craigromero@owen-mendez.com,(360)612-7961,94104,ENTERPRISE,ENTERPRISE_PREMIUM,2022-01-07,300415.59,0.6,5,ACTIVE
SUB-ENT-0012,Miller-Johnson,Corp,zarias@douglas.com,001-427-270-3843x09883,94102,ENTERPRISE,ENTERPRISE_PREMIUM,2022-08-09,324700.39,0.84,4,ACTIVE
SUB-ENT-0013,Pena and Sons,Corp,sheakimberly@caldwell-sullivan.com,901.818.4895x54393,94104,ENTERPRISE,ENTERPRISE_PREMIUM,2023-07-10,475433.81,0.72,5,ACTIVE
SUB-ENT-0014,Green Group,Corp,hansenwesley@arroyo-pratt.com,+1-994-976-9735,94103,ENTERPRISE,ENTERPRISE_PREMIUM,2024-11-20,160667.73,0.84,4,ACTIVE
SUB-ENT-0015,"Atkins, Olson and Scott",Corp,oschultz@haynes.com,780.543.4165x18275,94102,ENTERPRISE,ENTERPRISE_PREMIUM,2024-11-17,256909.7,0.71,2,ACTIVE
SUB-ENT-0016,"Adams, Valentine and Vega",Corp,victorgonzalez@allen.com,+1-752-711-1790x807,94104,ENTERPRISE,ENTERPRISE_PREMIUM,2023-03-03,110176.59,0.82,5,ACTIVE
SUB-ENT-0017,"Melton, Henry and Joyce",Corp,raymond92@fox.info,+1-908-756-2718,94102,ENTERPRISE,ENTERPRISE_PREMIUM,2024-01-03,455650.25,0.74,5,ACTIVE
SUB-ENT-0018,Smith and Sons,Corp,ucarpenter@salazar-green.net,734-779-5527x636,94104,ENTERPRISE,ENTERPRISE_PREMIUM,2024-09-16,452870.68,0.75,5,ACTIVE
SUB-ENT-0019,Ramirez-White,Corp,tiffanyparks@le.net,(963)622-7026x72885,94104,ENTERPRISE,ENTERPRISE_PREMIUM,2022-02-21,86516.95,0.81,2,ACTIVE
SUB-ENT-0020,"Garrison, Williams and Garcia",Corp,briancervantes@combs-davis.com,555-488-4506x159,94104,ENTERPRISE,ENTERPRISE_PREMIUM,2024-05-24,63926.38,0.79,5,ACTIVE
SUB-ENT-0021,Kelly-Nunez,Corp,champton@james.info,+1-722-756-9961x1253,94196,ENTERPRISE,ENTERPRISE_PREMIUM,2023-11-08,105537.02,0.29,10,ACTIVE
SUB-ENT-0022,Page-Jacobs,Corp,cnelson@adkins-meyer.info,(922)202-3413x26111,94186,ENTERPRISE,ENTERPRISE_PREMIUM,2021-03-09,211084.58,0.14,7,ACTIVE
SUB-ENT-0023,Warren-Ferrell,Corp,bakereric@huynh.com,622.982.0055x778,94125,ENTERPRISE,ENTERPRISE_PREMIUM,2021-08-25,258211.64,0.29,10,ACTIVE
SUB-ENT-0024,"Ryan, Garza and Bryant",Corp,omills@collins.com,645.964.2400x825,94111,ENTERPRISE,ENTERPRISE_PREMIUM,2023-05-09,149684.34,0.1,9,ACTIVE
SUB-ENT-0025,Watts Group,Corp,xevans@yates-harper.com,+1-853-868-6632,94197,ENTERPRISE,ENTERPRISE_PREMIUM,2022-01-05,464629.41,0.17,7,ACTIVE
SUB-ENT-0026,Miller-Garrett,Corp,justin84@lopez-jones.com,217-497-4973x5020,94188,ENTERPRISE,ENTERPRISE_PREMIUM,2021-07-05,331356.45,0.26,8,ACTIVE
SUB-ENT-0027,Adams-Espinoza,Corp,halledward@robinson-fisher.info,(470)551-2046x187,94139,ENTERPRISE,ENTERPRISE_PREMIUM,2024-11-19,491053.6,0.29,7,ACTIVE
SUB-ENT-0028,Roth-Clayton,Corp,villegasjennifer@wise-ramos.com,471.283.7645,94145,ENTERPRISE,ENTERPRISE_PREMIUM,2024-03-29,271777.04,0.24,8,ACTIVE
SUB-ENT-0029,"Meyer, King and Little",Corp,michaelwilliams@robinson.com,9244916300,94110,ENTERPRISE,ENTERPRISE_PREMIUM,2022-08-27,138239.06,0.26,10,ACTIVE
SUB-ENT-0030,Wright Group,Corp,parksmatthew@brown.net,227-835-8573,94124,ENTERPRISE,ENTERPRISE_PREMIUM,2022-08-07,441462.3,0.21,10,ACTIVE
SUB-ENT-0031,"Taylor, Roach and Washington",Corp,ihansen@henry.com,001-774-998-2182x7448,94131,ENTERPRISE,ENTERPRISE_PREMIUM,2021-01-29,298303.33,0.23,8,ACTIVE
SUB-ENT-0032,"Hunter, Gross and Andrade",Corp,kimberly35@brown.com,478.429.4565x11810,94118,ENTERPRISE,ENTERPRISE_PREMIUM,2024-10-15,314674.06,0.25,8,ACTIVE
SUB-ENT-0033,Harris Group,Corp,coreyduncan@barrett-fox.org,705-839-1037x170,94143,ENTERPRISE,ENTERPRISE_PREMIUM,2024-07-27,470103.53,0.27,9,ACTIVE
SUB-ENT-0034,Bauer-Brown,Corp,allison14@blackburn.com,438-863-3839,94134,ENTERPRISE,ENTERPRISE_PREMIUM,2024-04-01,431450.23,0.1,9,ACTIVE
SUB-ENT-0035,Miranda PLC,Corp,emily61@sparks.biz,552.589.7558x55665,94197,ENTERPRISE,ENTERPRISE_PREMIUM,2022-09-02,302052.19,0.19,10,ACTIVE
SUB-ENT-0036,"Howe, King and Nixon",Corp,amoyer@johnson.com,404-333-5048x8899,94192,ENTERPRISE,ENTERPRISE_PREMIUM,2021-03-27,352894.9,0.23,9,ACTIVE
SUB-ENT-0037,Kelly-Taylor,Corp,pamela33@shepherd-davis.biz,001-631-257-2791,94165,ENTERPRISE,ENTERPRISE_PREMIUM,2024-03-08,429953.7,0.18,7,ACTIVE
SUB-ENT-0038,"James, Deleon and Weeks",Corp,michael66@kane.org,4607480589,94197,ENTERPRISE,ENTERPRISE_PREMIUM,2023-03-19,283232.87,0.2,7,ACTIVE
SUB-ENT-0039,"Walker, Williams and Dennis",Corp,wmaddox@johnston.biz,(625)317-9086,94138,ENTERPRISE,ENTERPRISE_PREMIUM,2022-10-09,71134.09,0.28,10,ACTIVE
SUB-ENT-0040,"Hamilton, Wolfe and Gill",Corp,fhansen@pearson-gonzalez.org,001-783-731-4659x1166,94150,ENTERPRISE,ENTERPRISE_PREMIUM,2021-11-19,52321.68,0.14,7,ACTIVE
SUB-ENT-0041,Cooper-Rios,Corp,gary59@hanson-alexander.com,652.211.0392,94183,ENTERPRISE,ENTERPRISE_PREMIUM,2022-07-15,413452.81,0.3,8,ACTIVE
SUB-ENT-0042,"Brock, Torres and Ruiz",Corp,jason83@payne.net,692.206.9804x2043,94198,ENTERPRISE,ENTERPRISE_PREMIUM,2023-01-20,240719.12,0.11,8,ACTIVE
SUB-ENT-0043,"Landry, Jones and Guerrero",Corp,michelle04@hughes.com,679-781-2387x80038,94135,ENTERPRISE,ENTERPRISE_PREMIUM,2023-02-28,124016.71,0.16,7,ACTIVE
SUB-ENT-0044,Garner-Smith,Corp,michael43@hill.biz,8845325621,94113,ENTERPRISE,ENTERPRISE_PREMIUM,2022-11-07,265984.89,0.26,9,ACTIVE
SUB-ENT-0045,Berry Group,Corp,renee57@anderson.com,(348)326-2925,94142,ENTERPRISE,ENTERPRISE_PREMIUM,2021-11-10,161219.1,0.19,9,ACTIVE
SUB-ENT-0046,Franco-Thomas,Corp,cannonnicole@ali-turner.com,(531)522-0994,94116,ENTERPRISE,ENTERPRISE_PREMIUM,2022-01-21,419735.21,0.2,8,ACTIVE
SUB-ENT-0047,"Johnson, Miller and Chan",Corp,waynejacobs@banks.info,(523)530-6046,94119,ENTERPRISE,ENTERPRISE_PREMIUM,2024-04-19,399087.26,0.22,7,ACTIVE
SUB-ENT-0048,Jones Group,Corp,dwatts@patterson.org,001-965-269-9988x0817,94190,ENTERPRISE,ENTERPRISE_PREMIUM,2024-10-22,250905.29,0.12,7,ACTIVE
SUB-ENT-0049,Stone Group,Corp,grantzachary@estes.com,001-347-426-4908x27718,94114,ENTERPRISE,ENTERPRISE_PREMIUM,2024-05-21,219827.81,0.28,7,ACTIVE
SUB-ENT-0050,"Pace, Horton and Taylor",Corp,bmorris@chavez.com,814.452.1117x518,94126,ENTERPRISE,ENTERPRISE_PREMIUM,2022-09-08,77901.01,0.26,7,ACTIVE
SUB-CON-00001,Andrea,Williams,rhondacunningham@example.net,(622)420-6447,94138,CONSUMER,PREMIUM,2022-01-28,3205.69,0.07,10,ACTIVE
SUB-CON-00002,Rachel,Horne,deanjohnny@example.com,378.209.7339x7767,94171,CONSUMER,BUDGET,2023-02-27,1615.6,0.18,5,SUSPENDED
SUB-CON-00003,Nicole,Ramirez,brandonhernandez@example.net,(402)409-9451x016,94129,CONSUMER,PREMIUM,2023-06-30,3979.88,0.27,8,SUSPENDED
SUB-CON-00004,Cheryl,Holt,tammycurry@example.com,3146556168,94159,CONSUMER,STANDARD,2025-01-29,4423.7,0.27,7,ACTIVE
SUB-CON-00005,Dennis,Neal,mark68@example.org,001-739-601-9817x946,94158,CONSUMER,PREMIUM,2025-07-18,1775.33,0.12,5,ACTIVE
SUB-CON-00006,Barbara,Hanson,christinacrawford@example.net,+1-577-829-3430x1071,94176,CONSUMER,PREMIUM,2024-08-06,524.21,0.33,6,ACTIVE
SUB-CON-00007,Brandon,Bailey,alexharris@example.com,214-448-8501x556,94181,CONSUMER,PREMIUM,2022-09-22,1430.17,0.2,10,SUSPENDED
SUB-CON-00008,Mark,Morgan,zhendricks@example.org,+1-727-227-8576x0849,94123,CONSUMER,BUDGET,2022-11-06,860.83,0.07,6,ACTIVE
SUB-CON-00009,Barbara,Rivera,carl24@example.org,868-329-9629x14504,94174,CONSUMER,STANDARD,2025-04-21,2663.0,0.28,7,ACTIVE
SUB-CON-00010,Natalie,Watson,javier42@example.org,(903)617-8078x235,94174,CONSUMER,PREMIUM,2023-11-11,3922.38,0.1,7,ACTIVE
SUB-CON-00011,Douglas,Wiggins,jamiejohnson@example.com,001-681-204-0915x701,94137,CONSUMER,STANDARD,2025-12-27,4857.3,0.23,10,ACTIVE
SUB-CON-00012,Katherine,Fowler,manuellee@example.com,+1-257-314-2241,94107,CONSUMER,BUDGET,2022-10-31,2634.12,0.34,5,SUSPENDED
SUB-CON-00013,Amy,Dunn,donald49@example.org,(214)995-8702,94144,CONSUMER,BUDGET,2021-07-03,4887.25,0.27,6,ACTIVE
SUB-CON-00014,Daniel,Brown,tmyers@example.net,001-979-454-5381,94143,CONSUMER,BUDGET,2021-11-12,3405.73,0.29,8,ACTIVE
SUB-CON-00015,Lisa,Gillespie,tdavis@example.net,+1-977-933-2945x6255,94174,CONSUMER,PREMIUM,2021-05-02,4822.71,0.27,8,ACTIVE
SUB-CON-00016,Cameron,Rodriguez,kmurray@example.com,001-959-892-8161x58148,94120,CONSUMER,BUDGET,2024-08-04,2380.65,0.33,5,SUSPENDED
SUB-CON-00017,John,Sanchez,terrireyes@example.com,396.969.5832,94128,CONSUMER,BUDGET,2022-01-18,3266.08,0.29,8,ACTIVE
SUB-CON-00018,Brittany,Ford,shortgregory@example.com,591-496-5701,94130,CONSUMER,STANDARD,2026-01-06,3726.01,0.38,7,SUSPENDED
SUB-CON-00019,Rebecca,Fields,shermandonna@example.com,+1-646-699-7335,94126,CONSUMER,STANDARD,2024-10-09,1084.37,0.4,7,ACTIVE
SUB-CON-00020,Jennifer,Herman,aguilarcheryl@example.net,(524)805-8008x5140,94109,CONSUMER,STANDARD,2024-06-05,344.08,0.09,7,SUSPENDED
SUB-CON-00021,Colleen,Joseph,ijames@example.org,+1-327-223-8656x24220,94124,CONSUMER,PREMIUM,2022-04-20,3011.29,0.32,5,ACTIVE
SUB-CON-00022,Jennifer,Tucker,iproctor@example.org,(867)996-9278,94125,CONSUMER,BUDGET,2024-05-07,1563.68,0.13,7,ACTIVE
SUB-CON-00023,Michael,Lopez,lanemelanie@example.org,001-384-968-9500x975,94143,CONSUMER,PREMIUM,2021-10-03,1380.63,0.12,6,ACTIVE
SUB-CON-00024,Douglas,Simon,steven18@example.net,737-218-9490,94112,CONSUMER,BUDGET,2025-01-23,4190.94,0.1,10,ACTIVE
SUB-CON-00025,Shawn,Escobar,robert44@example.org,2946940792,94143,CONSUMER,BUDGET,2021-04-22,1664.35,0.13,7,ACTIVE
SUB-CON-00026,Justin,Miller,yorkjoshua@example.org,+1-444-640-1929x275,94167,CONSUMER,PREMIUM,2023-01-31,4431.99,0.36,5,ACTIVE
SUB-CON-00027,Todd,Lloyd,cooperchristopher@example.org,+1-627-366-3723x950,94118,CONSUMER,BUDGET,2021-07-10,4015.51,0.12,8,ACTIVE
SUB-CON-00028,Gary,Ross,thomas83@example.com,+1-367-742-8604x76580,94140,CONSUMER,PREMIUM,2024-09-30,2261.79,0.27,5,ACTIVE
SUB-CON-00029,Cheryl,Pearson,matthew41@example.com,+1-296-373-9385x2580,94168,CONSUMER,STANDARD,2021-03-06,3990.02,0.16,5,ACTIVE
SUB-CON-00030,Robert,Fox,ubell@example.com,330-409-1093x911,94116,CONSUMER,PREMIUM,2024-04-10,4848.24,0.36,6,ACTIVE
SUB-CON-00031,Diana,Yoder,pauladominguez@example.com,871-774-6542x1406,94160,CONSUMER,PREMIUM,2021-08-02,3151.45,0.11,8,ACTIVE
